;name;categories;address;cc;city;country;crossStreet;distance;formattedAddress;labeledLatLngs;lat;lng;neighborhood;postalCode;state;id
261;Rising Sun;Sushi Restaurant;1 Rice Parade;GB;Orpington;United Kingdom;Fairway;1966;['1 Rice Parade (Fairway)', 'Orpington', 'Greater London', 'BR5 1EQ', 'United Kingdom'];[{'label': 'display', 'lat': 51.388643578273786, 'lng': 0.07611572742462158}];51.388.643.578.273.700;0.07611572742462158;Petts Wood;BR5 1EQ;Greater London;4d1cca39c68aa1cdebb0a5e2
262;Fiesta Mexicana;Mexican Restaurant;;GB;;United Kingdom;;1198;['United Kingdom'];[{'label': 'display', 'lat': 51.379134358653005, 'lng': 0.10233840076970038}];51.379.134.358.653.000;0.10233840076970038;;;;4bf84c5d5ec320a1328888d3
263;The Rib Shack Bar And Grill;American Restaurant;5 Station Sq;GB;London;United Kingdom;;2013;['5 Station Sq', 'Petts Wood', 'Greater London', 'BR5 1LY', 'United Kingdom'];[{'label': 'display', 'lat': 51.389956191350485, 'lng': 0.07537949517415779}];51.389.956.191.350.400;0.07537949517415779;;BR5 1LY;Greater London;51291469e4b0f4c984ef2e32
264;Thai Moom;Thai Restaurant;131, Queensway Petts Wood;GB;Bromley;United Kingdom;;2311;['131, Queensway Petts Wood', 'Bromley', 'Greater London', 'BR5 1DG', 'United Kingdom'];[{'label': 'display', 'lat': 51.38987176492203, 'lng': 0.0710905460661748}];5.138.987.176.492.200;0.0710905460661748;;BR5 1DG;Greater London;4dd11fe0183899ddfb143af9
269;Pato Lounge;Restaurant;202-206 High St;GB;Orpington;United Kingdom;;1459;['202-206 High St', 'Orpington', 'Greater London', 'BR6 0JN', 'United Kingdom'];[{'label': 'display', 'lat': 51.3770085608021, 'lng': 0.0999937959360211}];513.770.085.608.021;0.0999937959360211;;BR6 0JN;Greater London;55ce16bb498e503baeacebc8
272;Bella Italia;Italian Restaurant;The Walnuts,Unit 40B;GB;Orpington;United Kingdom;;1490;['The Walnuts,Unit 40B', 'Orpington', 'Greater London', 'BR6 0TW', 'United Kingdom'];[{'label': 'display', 'lat': 51.37658109673129, 'lng': 0.10127717206620397}];5.137.658.109.673.120;0.10127717206620397;;BR6 0TW;Greater London;56d04210cd1060338d0c5f47
274;Domino's Pizza;Pizza Place;91 Cotmandene Crescent;GB;London;United Kingdom;;1592;['91 Cotmandene Crescent', 'Cray Valley West', 'Greater London', 'BR5 2RD', 'United Kingdom'];[{'label': 'display', 'lat': 51.4041185054175, 'lng': 0.10546445846557617}];514.041.185.054.175;0.10546445846557617;;BR5 2RD;Greater London;4eb416dbf9f40c39c567d075
282;Uskudar Turkish Restaurant;Turkish Restaurant;61 Queensway;GB;London;United Kingdom;;2141;['61 Queensway', 'Petts Wood', 'Greater London', 'BR5 1DQ', 'United Kingdom'];[{'label': 'display', 'lat': 51.38792841426172, 'lng': 0.07368967451720333}];5.138.792.841.426.170;0.07368967451720333;;BR5 1DQ;Greater London;4d0536f037036dcbed5e15fb
289;Domino's Pizza;Pizza Place;296 High St;GB;Orpington;United Kingdom;;1753;['296 High St', 'Orpington', 'Greater London', 'BR6 0NF', 'United Kingdom'];[{'label': 'display', 'lat': 51.37452443148477, 'lng': 0.09839807367288794}];5.137.452.443.148.470;0.09839807367288794;;BR6 0NF;Greater London;4bd1f6469854d13a7ca1fa4d
297;Desperados;Mexican Restaurant;6 Station Square;GB;Petts Wood;United Kingdom;;2044;['6 Station Square', 'Petts Wood', 'United Kingdom'];[{'label': 'display', 'lat': 51.389903, 'lng': 0.074922}];51.389.903;0.074922;;;;4ca4e272d971b1f7e6bef1e0
311;Xi'an;Chinese Restaurant;324 High St;GB;Orpington;United Kingdom;;966;['324 High St', 'Orpington', 'Greater London', 'BR6 0NG', 'United Kingdom'];[{'label': 'display', 'lat': 51.37389975375316, 'lng': 0.09800124258616544}];5.137.389.975.375.310;0.09800124258616544;;BR6 0NG;Greater London;4c421a83e26920a11d8b5fe7
312;Osteria Da Fabrizio;Italian Restaurant;;GB;;United Kingdom;;1192;['United Kingdom'];[{'label': 'display', 'lat': 51.375789237102744, 'lng': 0.0991958332769815}];51.375.789.237.102.700;0.0991958332769815;;;;50796745e4b0ce42c63bd0be
315;PizzaExpress;Pizza Place;97 High St;GB;Orpington;United Kingdom;;1631;['97 High St', 'Orpington', 'Greater London', 'BR6 0LF', 'United Kingdom'];[{'label': 'display', 'lat': 51.37922623291019, 'lng': 0.10242654792171381}];5.137.922.623.291.010;0.10242654792171381;;BR6 0LF;Greater London;4cc2d0f89141370469dfb655
317;Reku Zen;Chinese Restaurant;;GB;;United Kingdom;;1688;['United Kingdom'];[{'label': 'display', 'lat': 51.379581725800534, 'lng': 0.10316108430867144}];51.379.581.725.800.500;0.10316108430867144;;;;4c766218db52b1f7e4357bdc
318;Fiesta Mexicana;Mexican Restaurant;;GB;;United Kingdom;;1619;['United Kingdom'];[{'label': 'display', 'lat': 51.379134358653005, 'lng': 0.10233840076970038}];51.379.134.358.653.000;0.10233840076970038;;;;4bf84c5d5ec320a1328888d3
319;Pato Lounge;Restaurant;202-206 High St;GB;Orpington;United Kingdom;;1339;['202-206 High St', 'Orpington', 'Greater London', 'BR6 0JN', 'United Kingdom'];[{'label': 'display', 'lat': 51.3770085608021, 'lng': 0.0999937959360211}];513.770.085.608.021;0.0999937959360211;;BR6 0JN;Greater London;55ce16bb498e503baeacebc8
