,Unnamed: 0,name,categories,address,cc,city,country,crossStreet,distance,formattedAddress,labeledLatLngs,lat,lng,neighborhood,postalCode,state,id,Checkin TipCount,venue price,venue price index,venue rating
2438,2438,Mosaic,Turkish Restaurant,Upper Clapton Road,GB,London,United Kingdom,Southwold Road,621,"['Upper Clapton Road (Southwold Road)', 'London', 'Greater London', 'United Kingdom']","[{'label': 'display', 'lat': 51.56311915155945, 'lng': -0.05826502590801957}]",51.563119151559455,-0.058265025908019574,,,Greater London,55b28869498e45ee054ef230,3.0,Moderate,2.0,7.9
2444,2444,Tonkotsu Mare Street,Ramen Restaurant,382 Mare St,GB,London,United Kingdom,,1154,"['382 Mare St', 'London', 'Greater London', 'E8 1HR', 'United Kingdom']","[{'label': 'display', 'lat': 51.54869677059156, 'lng': -0.05500378244070157}]",51.54869677059156,-0.05500378244070157,,E8 1HR,Greater London,54b1421e498e65df242a4635,37.0,,,8.5
2449,2449,Temple of Seitan,Vegetarian / Vegan Restaurant,10 Morning Ln,GB,London,United Kingdom,,1441,"['10 Morning Ln', 'London', 'Greater London', 'E9 6NA', 'United Kingdom']","[{'label': 'display', 'lat': 51.54603752043472, 'lng': -0.054240970254099505}]",51.54603752043472,-0.05424097025409951,Hackney,E9 6NA,Greater London,587a41297b88a705eb4874f8,30.0,Moderate,2.0,9.1
2463,2463,Goppa' Pizzeria,Italian Restaurant,106 Homerton High St,GB,London,United Kingdom,,1284,"['106 Homerton High St', 'London', 'Greater London', 'United Kingdom']","[{'label': 'display', 'lat': 51.54803980065231, 'lng': -0.046175037678643956}]",51.54803980065231,-0.04617503767864396,Hackney,,Greater London,53d2a640498e2d6262f45a58,7.0,Moderate,2.0,8.4
2466,2466,Pidgin,Modern European Restaurant,52 Wilton Way,GB,London,United Kingdom,,1602,"['52 Wilton Way', 'London', 'Greater London', 'E8 1BG', 'United Kingdom']","[{'label': 'display', 'lat': 51.54561953777611, 'lng': -0.06113843220049271}]",51.545619537776105,-0.06113843220049271,"Hackney, London, Greater London",E8 1BG,Greater London,55aaa13f498e486cd80d4ac2,17.0,,,9.1
2471,2471,Devran,Turkish Restaurant,170-172 Stoke Newington Rd,GB,London,United Kingdom,,1562,"['170-172 Stoke Newington Rd', 'London', 'Greater London', 'N16 7UY', 'United Kingdom']","[{'label': 'display', 'lat': 51.55625484239297, 'lng': -0.07449064319264262}]",51.55625484239297,-0.07449064319264262,,N16 7UY,Greater London,51aa06de498e89dba440d1d4,8.0,Moderate,2.0,8.7
2474,2474,Mangal Ocakbasi,Turkish Restaurant,10 Arcola St,GB,London,United Kingdom,at Miller's Terrace,1704,"[""10 Arcola St (at Miller's Terrace)"", 'London', 'Greater London', 'E8 2DJ', 'United Kingdom']","[{'label': 'display', 'lat': 51.55202556470298, 'lng': -0.07430332224927888}]",51.55202556470298,-0.07430332224927888,,E8 2DJ,Greater London,4adb8bf9f964a520dc2821e3,78.0,Moderate,2.0,9.2
2496,2496,Corner Kitchen,Italian Restaurant,,GB,,United Kingdom,,329,['United Kingdom'],"[{'label': 'display', 'lat': 51.54909812797763, 'lng': 0.024972616163025967}]",51.54909812797763,0.024972616163025967,,,,56b8d285498e16a732b3225f,8.0,Moderate,2.0,8.8
2500,2500,Arch Rivals,Restaurant,361 Winchelsea Road,GB,London,United Kingdom,,1059,"['361 Winchelsea Road', 'London', 'Greater London', 'E7 0AQ', 'United Kingdom']","[{'label': 'display', 'lat': 51.55479, 'lng': 0.019658245}]",51.554790000000004,0.019658245,Cann Hall,E7 0AQ,Greater London,5a2b0b7225fb7b771f9f6b57,2.0,Moderate,2.0,8.1
2502,2502,Vijay's Chawalla,Indian Restaurant,268-270 Green St.,GB,Upton Park,United Kingdom,,968,"['268-270 Green St.', 'Upton Park', 'Greater London', 'E7 8LF', 'United Kingdom']","[{'label': 'display', 'lat': 51.5387294628734, 'lng': 0.033241097262157654}]",51.5387294628734,0.03324109726215765,,E7 8LF,Greater London,4b9babf9f964a520b41836e3,12.0,Cheap,1.0,7.9
2504,2504,Pie Republic,Comfort Food Restaurant,80 Upton Ln,GB,London,United Kingdom,,336,"['80 Upton Ln', 'London', 'Greater London', 'E7 9LW', 'United Kingdom']","[{'label': 'display', 'lat': 51.543948901534016, 'lng': 0.026223775166727137}]",51.54394890153402,0.026223775166727137,,E7 9LW,Greater London,54d5dd49498eab400b436078,2.0,,,7.1
2505,2505,Singburi,Thai Restaurant,593 High Rd Leytonstone,GB,London,United Kingdom,,2121,"['593 High Rd Leytonstone', 'London', 'Greater London', 'E11 4PA', 'United Kingdom']","[{'label': 'display', 'lat': 51.56162934316492, 'lng': 0.008715998001688074}]",51.561629343164924,0.008715998001688074,,E11 4PA,Greater London,4b244bbbf964a520776524e3,18.0,Moderate,2.0,9.0
2513,2513,Taste Of India,Indian Restaurant,340 High St N,GB,Manor Park,United Kingdom,,1605,"['340 High St N', 'Manor Park', 'Greater London', 'E12 6PH', 'United Kingdom']","[{'label': 'display', 'lat': 51.542571513253435, 'lng': 0.05010722900190123}]",51.54257151325344,0.05010722900190123,,E12 6PH,Greater London,4da9db35cda1652a2b7ecfcb,25.0,Moderate,2.0,7.7
2514,2514,Saravanaa Bhavan,Indian Restaurant,300 High St N,GB,East Ham,United Kingdom,at Byron Ave,1621,"['300 High St N (at Byron Ave)', 'East Ham', 'Greater London', 'E12 6SA', 'United Kingdom']","[{'label': 'display', 'lat': 51.542468156114744, 'lng': 0.0502985187828753}]",51.542468156114744,0.0502985187828753,,E12 6SA,Greater London,4ac518e5f964a52000ab20e3,29.0,Moderate,2.0,7.7
2515,2515,McDonald's,Fast Food Restaurant,28-32 High St. N,GB,East Ham,United Kingdom,,2275,"['28-32 High St. N', 'East Ham', 'Greater London', 'E6 2HJ', 'United Kingdom']","[{'label': 'display', 'lat': 51.53403975713192, 'lng': 0.0536277164165419}]",51.53403975713192,0.0536277164165419,,E6 2HJ,Greater London,4d06283cc2e537044020c267,1.0,Cheap,1.0,8.3
2518,2518,Khyber Pass,Restaurant,716 Romford Rd.,GB,London,United Kingdom,,1815,"['716 Romford Rd.', 'London', 'Greater London', 'E12 6BT', 'United Kingdom']","[{'label': 'display', 'lat': 51.552241, 'lng': 0.052645}]",51.552240999999995,0.052645000000000004,,E12 6BT,Greater London,4e8f531577c89cb92147fac8,3.0,Moderate,2.0,7.7
2524,2524,Ananthapuram (Traditional Kerala Restaurant),Indian Restaurant,"241A,",GB,Greater London,United Kingdom,High St. North Manor Park,1719,"['241A, (High St. North Manor Park)', 'Greater London', 'E12 2JA', 'United Kingdom']","[{'label': 'display', 'lat': 51.54051653343377, 'lng': 0.050632921508809735}]",51.540516533433774,0.050632921508809735,,E12 2JA,Greater London,51b0b154498ecca5e9bf164c,0.0,Moderate,2.0,7.5
2530,2530,Nando's,Portuguese Restaurant,1A Romford Rd,GB,Stratford,United Kingdom,The Grove,1731,"['1A Romford Rd (The Grove)', 'Stratford', 'Greater London', 'E15 4LJ', 'United Kingdom']","[{'label': 'display', 'lat': 51.54237777388302, 'lng': 0.003939062105216014}]",51.542377773883025,0.003939062105216014,,E15 4LJ,Greater London,4cb1c82d75ebb60c2ca5cfad,10.0,Moderate,2.0,7.4
2531,2531,Londek Café,Eastern European Restaurant,198 The Grove,GB,Stratford,United Kingdom,,1632,"['198 The Grove', 'Stratford', 'Greater London', 'E15 1NS', 'United Kingdom']","[{'label': 'display', 'lat': 51.545333903524686, 'lng': 0.004461025136082427}]",51.545333903524686,0.004461025136082427,,E15 1NS,Greater London,4d68faad9bd6a143eaae58df,7.0,Moderate,2.0,7.4
2532,2532,Chennai Dosa,Indian Restaurant,177 High St. N.,GB,East Ham,United Kingdom,,1881,"['177 High St. N.', 'East Ham', 'Greater London', 'E6 1JB', 'United Kingdom']","[{'label': 'display', 'lat': 51.53822466272572, 'lng': 0.051360218710006414}]",51.53822466272572,0.05136021871000642,,E6 1JB,Greater London,4c7eb099e4b06dcbdfe144d7,10.0,Cheap,1.0,7.6
2541,2541,Olive Oil & Oregano,Greek Restaurant,Westfield Stratford City,GB,Stratford,United Kingdom,Level Lower ground floor,2387,"['Westfield Stratford City (Level Lower ground floor)', 'Stratford', 'Greater London', ' E20', 'United Kingdom']","[{'label': 'display', 'lat': 51.543536487618, 'lng': -0.006155238356324766}]",51.543536487618,-0.006155238356324765,,E20,Greater London,4e83184449016d9ffebc4812,29.0,Moderate,2.0,7.7
2542,2542,Hyderabadi Spice,Indian Restaurant,"309, High Street North",GB,Manor Park,United Kingdom,,1586,"['309, High Street North', 'Manor Park', 'Greater London', 'E12 6SL', 'United Kingdom']","[{'label': 'display', 'lat': 51.5429293334233, 'lng': 0.0499919630876383}]",51.5429293334233,0.0499919630876383,,E12 6SL,Greater London,4c4c90029e6dbe9a7ea5ae0d,12.0,Moderate,2.0,7.2
2544,2544,Pie Crust Cafe,Thai Restaurant,273 High St,GB,Stratford,United Kingdom,,2492,"['273 High St', 'Stratford', 'Greater London', 'E15 2TF', 'United Kingdom']","[{'label': 'display', 'lat': 51.536489085536914, 'lng': -0.004051344410566316}]",51.53648908553691,-0.0040513444105663154,,E15 2TF,Greater London,4c8bbe925e048cfa9a19c6cd,11.0,Moderate,2.0,7.8
2549,2549,Mora,Italian Restaurant,"487 High Rd Leytonstone, London",GB,,United Kingdom,,1997,"['487 High Rd Leytonstone, London', 'E11 4PG', 'United Kingdom']","[{'label': 'display', 'lat': 51.559207, 'lng': 0.007122}]",51.559207,0.007122,,E11 4PG,,5708f8a5498e04ec2b813879,3.0,Moderate,2.0,7.3
2573,2573,Olive and Lemon,Mediterranean Restaurant,30 Broadway,GB,London,United Kingdom,,2023,"['30 Broadway', 'London', 'Greater London', 'E15 4QS', 'United Kingdom']","[{'label': 'display', 'lat': 51.53999850039454, 'lng': 0.0008054501273832847}]",51.53999850039453,0.0008054501273832848,,E15 4QS,Greater London,552914ae498e147ac8414c6e,2.0,Moderate,2.0,6.9
2574,2574,Las Iguanas,Latin American Restaurant,Level 2 The Gallery,GB,London,United Kingdom,Westfield Stratford,2429,"['Level 2 The Gallery (Westfield Stratford)', 'London', 'Greater London', 'E20 1ET', 'United Kingdom']","[{'label': 'display', 'lat': 51.54289, 'lng': -0.006596}]",51.54289,-0.006595999999999999,,E20 1ET,Greater London,4df473018130cf14cc16aec3,36.0,Moderate,2.0,7.1
2576,2576,GDK German Doner Kebab,Doner Restaurant,Stratford Centre,GB,London,United Kingdom,,1913,"['Stratford Centre', 'London', 'Greater London', 'E15 1NG', 'United Kingdom']","[{'label': 'display', 'lat': 51.541277, 'lng': 0.001739}]",51.541277,0.001739,,E15 1NG,Greater London,592432c34186865a8fdce843,1.0,,,6.8
2577,2577,Kasturi,Indian Restaurant,146 Leytonstone High Rd,GB,Stratford,United Kingdom,,1646,"['146 Leytonstone High Rd', 'Stratford', 'Greater London', 'E15 1UA', 'United Kingdom']","[{'label': 'display', 'lat': 51.552011, 'lng': 0.0056760000000000005}]",51.552011,0.0056760000000000005,,E15 1UA,Greater London,4dec88ec1520ed580a583679,8.0,Cheap,1.0,6.6
2578,2578,Berneliu Uzeiga,Restaurant,,GB,,United Kingdom,,1977,['United Kingdom'],"[{'label': 'display', 'lat': 51.55891618889419, 'lng': 0.007069069442288223}]",51.55891618889419,0.007069069442288223,,,,4f75b2cde4b0149b3ddc61b0,2.0,Moderate,2.0,6.7
2592,2592,KFC,Fast Food Restaurant,137-141 High Street North,GB,East Ham,United Kingdom,,1987,"['137-141 High Street North', 'East Ham', 'Greater London', 'E6 1HZ', 'United Kingdom']","[{'label': 'display', 'lat': 51.5369263717055, 'lng': 0.05186050577607375}]",51.536926371705505,0.05186050577607375,,E6 1HZ,Greater London,513b3707e4b0cb9984aa1399,0.0,Cheap,1.0,5.9
2599,2599,Pidgin,Modern European Restaurant,52 Wilton Way,GB,London,United Kingdom,,424,"['52 Wilton Way', 'London', 'Greater London', 'E8 1BG', 'United Kingdom']","[{'label': 'display', 'lat': 51.54561953777611, 'lng': -0.06113843220049271}]",51.545619537776105,-0.06113843220049271,"Hackney, London, Greater London",E8 1BG,Greater London,55aaa13f498e486cd80d4ac2,17.0,,,9.1
2610,2610,Green Papaya,Vietnamese Restaurant,191 Mare St,GB,Hackney,United Kingdom,London Lane & Lamb Lane,556,"['191 Mare St (London Lane & Lamb Lane)', 'Hackney', 'Greater London', 'E8 3QE', 'United Kingdom']","[{'label': 'display', 'lat': 51.54044180548767, 'lng': -0.05551667588396879}]",51.540441805487674,-0.05551667588396879,,E8 3QE,Greater London,4ad10e6ff964a52054dc20e3,44.0,Cheap,1.0,8.8
2612,2612,Bright,Restaurant,1 Westgate Street,GB,London,United Kingdom,,610,"['1 Westgate Street', 'London', 'Greater London', 'E8 3RL', 'United Kingdom']","[{'label': 'display', 'lat': 51.537800319385646, 'lng': -0.05750681856026881}]",51.53780031938565,-0.05750681856026881,,E8 3RL,Greater London,5abba954491be74b78bfb975,6.0,Moderate,2.0,9.0
2620,2620,Temple of Seitan,Vegetarian / Vegan Restaurant,10 Morning Ln,GB,London,United Kingdom,,761,"['10 Morning Ln', 'London', 'Greater London', 'E9 6NA', 'United Kingdom']","[{'label': 'display', 'lat': 51.54603752043472, 'lng': -0.054240970254099505}]",51.54603752043472,-0.05424097025409951,Hackney,E9 6NA,Greater London,587a41297b88a705eb4874f8,30.0,Moderate,2.0,9.1
2625,2625,Mildred's Dalston,Vegetarian / Vegan Restaurant,1 Dalston Sq,GB,Dalston,United Kingdom,Dalston Junction,893,"['1 Dalston Sq (Dalston Junction)', 'Dalston', 'Greater London', 'E8 3GU', 'United Kingdom']","[{'label': 'display', 'lat': 51.54542471977169, 'lng': -0.07484153418100199}]",51.54542471977169,-0.07484153418100199,"Dalston, London, Greater London",E8 3GU,Greater London,59a6894483e38015b6681038,16.0,Moderate,2.0,9.1
2628,2628,Rotorino,Italian Restaurant,434 Kingsland Rd,GB,London,United Kingdom,,901,"['434 Kingsland Rd', 'London', 'Greater London', 'E8 4AA', 'United Kingdom']","[{'label': 'display', 'lat': 51.542259813335924, 'lng': -0.07616785138442264}]",51.542259813335924,-0.07616785138442264,,E8 4AA,Greater London,533ececb498e7a2bc0559931,41.0,Moderate,2.0,8.8
2629,2629,Andu's cafe,Ethiopian Restaurant,528 Kingsland Rd ,GB,London,United Kingdom,,925,"['528 Kingsland Rd\xa0', 'London', 'Greater London', 'E8 4AH', 'United Kingdom']","[{'label': 'display', 'lat': 51.544519836475736, 'lng': -0.07590621890118691}]",51.54451983647574,-0.07590621890118691,,E8 4AH,Greater London,545a200f498eef902ae4b158,9.0,Moderate,2.0,8.9
2631,2631,Bistrotheque,French Restaurant,23-27 Wadeson St,GB,London,United Kingdom,,1004,"['23-27 Wadeson St', 'London', 'Greater London', 'E2 9DR', 'United Kingdom']","[{'label': 'display', 'lat': 51.534130135900014, 'lng': -0.056122439543209224}]",51.53413013590002,-0.05612243954320922,,E2 9DR,Greater London,4ac518c5f964a520f5a420e3,139.0,Expensive,3.0,9.2
2634,2634,Berber & Q,Middle Eastern Restaurant,Arch 338 Acton Mews,GB,London,United Kingdom,,1056,"['Arch 338 Acton Mews', 'London', 'Greater London', 'E8 4EA', 'United Kingdom']","[{'label': 'display', 'lat': 51.53688177314958, 'lng': -0.0759714166092262}]",51.536881773149574,-0.0759714166092262,,E8 4EA,Greater London,55394a97498e047844fe6c2c,74.0,Cheap,1.0,9.2
2636,2636,Little Georgia,Caucasian Restaurant,87 Goldsmiths Row,GB,London,United Kingdom,Audrey Street,990,"['87 Goldsmiths Row (Audrey Street)', 'Haggerston', 'Greater London', 'E2 8QR', 'United Kingdom']","[{'label': 'display', 'lat': 51.53320754530001, 'lng': -0.06508900200706333}]",51.53320754530001,-0.06508900200706333,,E2 8QR,Greater London,4acf0018f964a5203ed220e3,38.0,Moderate,2.0,8.9
2645,2645,Toconoco,Udon Restaurant,28 Hertford Rd,GB,London,United Kingdom,,1114,"['28 Hertford Rd', 'London', 'Greater London', 'N1 5QT', 'United Kingdom']","[{'label': 'display', 'lat': 51.53831041914553, 'lng': -0.07809806013779773}]",51.538310419145525,-0.07809806013779773,,N1 5QT,Greater London,536e7b39498e2d22dd840d18,46.0,Moderate,2.0,8.9
2649,2649,Black Cat,Vegetarian / Vegan Restaurant,76 Clarence Rd,GB,London,United Kingdom,,1167,"['76 Clarence Rd', 'Homerton', 'Greater London', 'E5 8HB', 'United Kingdom']","[{'label': 'display', 'lat': 51.55141034753273, 'lng': -0.055653776980376206}]",51.55141034753273,-0.055653776980376206,,E5 8HB,Greater London,524f0e1c93cd7c60acf7f56a,33.0,Moderate,2.0,8.9
2660,2660,Arepa & Co,Arepa Restaurant,58A De Beauvoir Crescent,GB,London,United Kingdom,,1300,"['58A De Beauvoir Crescent', 'Haggerston', 'Greater London', 'N1 5SB', 'United Kingdom']","[{'label': 'display', 'lat': 51.53704712357173, 'lng': -0.08014676693820937}]",51.53704712357173,-0.08014676693820938,,N1 5SB,Greater London,5246cc5d11d24223cb2c291c,,,,
2662,2662,Mangal Ocakbasi,Turkish Restaurant,10 Arcola St,GB,London,United Kingdom,at Miller's Terrace,1355,"[""10 Arcola St (at Miller's Terrace)"", 'London', 'Greater London', 'E8 2DJ', 'United Kingdom']","[{'label': 'display', 'lat': 51.55202556470298, 'lng': -0.07430332224927888}]",51.55202556470298,-0.07430332224927888,,E8 2DJ,Greater London,4adb8bf9f964a520dc2821e3,,,,
2669,2669,Uchi,Japanese Restaurant,144 Clarence Rd,GB,London,United Kingdom,,1388,"['144 Clarence Rd', 'London', 'Greater London', 'E5 8DY', 'United Kingdom']","[{'label': 'display', 'lat': 51.55369969074399, 'lng': -0.05609758640954243}]",51.55369969074399,-0.05609758640954243,,E5 8DY,Greater London,5606ec25498e8dec2b31a780,,,,
2679,2679,Morito Hackney Road,Tapas Restaurant,195 Hackney Road,GB,London,United Kingdom,,1384,"['195 Hackney Road', 'London', 'Greater London', 'E2 8JL', 'United Kingdom']","[{'label': 'display', 'lat': 51.530903807600346, 'lng': -0.0721104801932266}]",51.530903807600346,-0.0721104801932266,Hackney,E2 8JL,Greater London,572dcf4b498e6743a25b14dc,,,,
2683,2683,Italina,Italian Restaurant,385 Cambridge Heath Rd,GB,Bethnal Green,United Kingdom,,1390,"['385 Cambridge Heath Rd', 'Bethnal Green', 'Greater London', 'E2 9RA', 'United Kingdom']","[{'label': 'display', 'lat': 51.53029848315733, 'lng': -0.056227878816925786}]",51.53029848315733,-0.05622787881692578,,E2 9RA,Greater London,4dc30ac2d4c0ad9c0f4c2578,,,,
2684,2684,Brawn,Restaurant,49 Columbia Rd,GB,Shoreditch,United Kingdom,,1541,"['49 Columbia Rd', 'Shoreditch', 'Greater London', 'E2 7RG', 'United Kingdom']","[{'label': 'display', 'lat': 51.528912924034444, 'lng': -0.0703129817333181}]",51.52891292403445,-0.0703129817333181,,E2 7RG,Greater London,4ceed4e213aea143e6e16f9f,,,,
2687,2687,My Neighbours The Dumplings,Dumpling Restaurant,165 Lower Clapton Rd,GB,London,United Kingdom,,1506,"['165 Lower Clapton Rd', 'London', 'Greater London', 'E5 8EQ', 'United Kingdom']","[{'label': 'display', 'lat': 51.5543464577585, 'lng': -0.054156493346225146}]",51.554346457758506,-0.054156493346225146,Hackney,E5 8EQ,Greater London,56dc3191498ea0337f11bd89,,,,
2688,2688,BunBunBun Vietnamese Food,Vietnamese Restaurant,134B Kingsland Rd,GB,London,United Kingdom,,1566,"['134B Kingsland Rd', 'London', 'Greater London', 'E2 8DY', 'United Kingdom']","[{'label': 'display', 'lat': 51.53093012782418, 'lng': -0.07708444328536329}]",51.530930127824185,-0.07708444328536329,,E2 8DY,Greater London,54086528498e4f691ec091b3,,,,
2711,2711,Temple of Seitan,Vegetarian / Vegan Restaurant,10 Morning Ln,GB,London,United Kingdom,,872,"['10 Morning Ln', 'London', 'Greater London', 'E9 6NA', 'United Kingdom']","[{'label': 'display', 'lat': 51.54603752043472, 'lng': -0.054240970254099505}]",51.54603752043472,-0.05424097025409951,Hackney,E9 6NA,Greater London,587a41297b88a705eb4874f8,,,,
2713,2713,Goppa' Pizzeria,Italian Restaurant,106 Homerton High St,GB,London,United Kingdom,,647,"['106 Homerton High St', 'London', 'Greater London', 'United Kingdom']","[{'label': 'display', 'lat': 51.54803980065231, 'lng': -0.046175037678643956}]",51.54803980065231,-0.04617503767864396,Hackney,,Greater London,53d2a640498e2d6262f45a58,,,,
2720,2720,Green Papaya,Vietnamese Restaurant,191 Mare St,GB,Hackney,United Kingdom,London Lane & Lamb Lane,903,"['191 Mare St (London Lane & Lamb Lane)', 'Hackney', 'Greater London', 'E8 3QE', 'United Kingdom']","[{'label': 'display', 'lat': 51.54044180548767, 'lng': -0.05551667588396879}]",51.540441805487674,-0.05551667588396879,,E8 3QE,Greater London,4ad10e6ff964a52054dc20e3,,,,
2724,2724,Scoffs Grill,Middle Eastern Restaurant,355-357 Wick Road,GB,London,United Kingdom,,909,"['355-357 Wick Road', 'London', 'Greater London', 'E9 5DH', 'United Kingdom']","[{'label': 'display', 'lat': 51.545042653610956, 'lng': -0.030406973713773666}]",51.54504265361096,-0.030406973713773662,,E9 5DH,Greater London,55e9a7d6498e2b63ac284fb4,,,,
2730,2730,Bright,Restaurant,1 Westgate Street,GB,London,United Kingdom,,1140,"['1 Westgate Street', 'London', 'Greater London', 'E8 3RL', 'United Kingdom']","[{'label': 'display', 'lat': 51.537800319385646, 'lng': -0.05750681856026881}]",51.53780031938565,-0.05750681856026881,,E8 3RL,Greater London,5abba954491be74b78bfb975,,,,
2732,2732,LARDO,Italian Restaurant,195-205 Richmond Rd,GB,Hackney,United Kingdom,,993,"['195-205 Richmond Rd', 'Hackney', 'Greater London', 'E8 3NJ', 'United Kingdom']","[{'label': 'display', 'lat': 51.54345199309569, 'lng': -0.05720672026998346}]",51.54345199309569,-0.05720672026998346,,E8 3NJ,Greater London,4fede844e4b078413a369e71,,,,
2748,2748,Bistrotheque,French Restaurant,23-27 Wadeson St,GB,London,United Kingdom,,1311,"['23-27 Wadeson St', 'London', 'Greater London', 'E2 9DR', 'United Kingdom']","[{'label': 'display', 'lat': 51.534130135900014, 'lng': -0.056122439543209224}]",51.53413013590002,-0.05612243954320922,,E2 9DR,Greater London,4ac518c5f964a520f5a420e3,,,,
2749,2749,Tonkotsu Mare Street,Ramen Restaurant,382 Mare St,GB,London,United Kingdom,,1078,"['382 Mare St', 'London', 'Greater London', 'E8 1HR', 'United Kingdom']","[{'label': 'display', 'lat': 51.54869677059156, 'lng': -0.05500378244070157}]",51.54869677059156,-0.05500378244070157,,E8 1HR,Greater London,54b1421e498e65df242a4635,,,,
2750,2750,Pidgin,Modern European Restaurant,52 Wilton Way,GB,London,United Kingdom,,1305,"['52 Wilton Way', 'London', 'Greater London', 'E8 1BG', 'United Kingdom']","[{'label': 'display', 'lat': 51.54561953777611, 'lng': -0.06113843220049271}]",51.545619537776105,-0.06113843220049271,"Hackney, London, Greater London",E8 1BG,Greater London,55aaa13f498e486cd80d4ac2,,,,
2752,2752,Rawduck,Restaurant,197 Richmond Rd,GB,Hackney,United Kingdom,,1016,"['197 Richmond Rd', 'Hackney', 'Greater London', 'E8 3NJ', 'United Kingdom']","[{'label': 'display', 'lat': 51.54346172265244, 'lng': -0.05754681234440435}]",51.54346172265244,-0.05754681234440435,,E8 3NJ,Greater London,52c1ef81498e0667fc4e284a,,,,
2755,2755,Bernstein’s Bar,Jewish Restaurant,73 Chatsworth Road,GB,Hackney,United Kingdom,Blurton Road,1264,"['73 Chatsworth Road (Blurton Road)', 'Hackney', 'Greater London', 'E5 0LH', 'United Kingdom']","[{'label': 'display', 'lat': 51.55386681123969, 'lng': -0.04503063882049831}]",51.55386681123969,-0.04503063882049831,Hackney,E5 0LH,Greater London,5809eff7d67c32945cad18c0,,,,
2763,2763,Black Cat,Vegetarian / Vegan Restaurant,76 Clarence Rd,GB,London,United Kingdom,,1319,"['76 Clarence Rd', 'Homerton', 'Greater London', 'E5 8HB', 'United Kingdom']","[{'label': 'display', 'lat': 51.55141034753273, 'lng': -0.055653776980376206}]",51.55141034753273,-0.055653776980376206,,E5 8HB,Greater London,524f0e1c93cd7c60acf7f56a,,,,
2775,2775,Cornerstone,Restaurant,3 Prince Edward Rd,GB,Wick,United Kingdom,,1228,"['3 Prince Edward Rd', 'Wick', 'Greater London', 'E9 5LX', 'United Kingdom']","[{'label': 'display', 'lat': 51.54416, 'lng': -0.025364}]",51.54416,-0.025363999999999998,,E9 5LX,Greater London,5ae309ddfd16bb002c7e737e,,,,
2780,2780,Bao Bar,Taiwanese Restaurant,"Netil Market, 23 Westgate St",GB,London,United Kingdom,,1233,"['Netil Market, 23 Westgate St', 'London', 'Greater London', 'United Kingdom']","[{'label': 'display', 'lat': 51.53756460379343, 'lng': -0.058823667038020035}]",51.53756460379343,-0.058823667038020035,,,Greater London,51eab4c8498efab8dc7b3b60,,,,
2785,2785,Hackney Bureau,Restaurant,3 Mare St,GB,Hackney,United Kingdom,at Andrew's Rd/Regents Canal,1349,"[""3 Mare St (at Andrew's Rd/Regents Canal)"", 'Hackney', 'Greater London', 'E8 4RP', 'United Kingdom']","[{'label': 'display', 'lat': 51.53452136658741, 'lng': -0.057494333160108664}]",51.53452136658741,-0.05749433316010865,,E8 4RP,Greater London,4de3b7a8d22d2a4ecde375da,,,,
2788,2788,Palmers Restaurant,Restaurant,238 Roman Rd,GB,London,United Kingdom,,1375,"['238 Roman Rd', 'London', 'Greater London', 'E2 0RY', 'United Kingdom']","[{'label': 'display', 'lat': 51.53022203404821, 'lng': -0.04278155195601645}]",51.530222034048215,-0.04278155195601645,,E2 0RY,Greater London,4b7f0b2ff964a5206b1230e3,,,,
2792,2792,My Neighbours The Dumplings,Dumpling Restaurant,165 Lower Clapton Rd,GB,London,United Kingdom,,1523,"['165 Lower Clapton Rd', 'London', 'Greater London', 'E5 8EQ', 'United Kingdom']","[{'label': 'display', 'lat': 51.5543464577585, 'lng': -0.054156493346225146}]",51.554346457758506,-0.054156493346225146,Hackney,E5 8EQ,Greater London,56dc3191498ea0337f11bd89,,,,
2793,2793,Uchi,Japanese Restaurant,144 Clarence Rd,GB,London,United Kingdom,,1537,"['144 Clarence Rd', 'London', 'Greater London', 'E5 8DY', 'United Kingdom']","[{'label': 'display', 'lat': 51.55369969074399, 'lng': -0.05609758640954243}]",51.55369969074399,-0.05609758640954243,,E5 8DY,Greater London,5606ec25498e8dec2b31a780,,,,
2794,2794,El Ganso,Spanish Restaurant,59 Broadway Market,GB,Hackney,United Kingdom,,1413,"['59 Broadway Market', 'Hackney', 'Greater London', 'E8 4PH', 'United Kingdom']","[{'label': 'display', 'lat': 51.53718791108441, 'lng': -0.061413514404999855}]",51.5371879110844,-0.06141351440499985,,E8 4PH,Greater London,537c637f498e3e9c9b808ca5,,,,
2797,2797,Granger & Co,Australian Restaurant,50 Sekforde St,GB,London,United Kingdom,,232,"['50 Sekforde St', 'London', 'Greater London', 'EC1R 0HA', 'United Kingdom']","[{'label': 'display', 'lat': 51.52350418199148, 'lng': -0.10462934946028138}]",51.52350418199147,-0.10462934946028138,,EC1R 0HA,Greater London,535e4530498e1cf1027f9f7c,,,,
2805,2805,Morito,Tapas Restaurant,32 Exmouth Market,GB,London,United Kingdom,Roseberry Ave,631,"['32 Exmouth Market (Roseberry Ave)', 'London', 'Greater London', 'EC1R 4QE', 'United Kingdom']","[{'label': 'display', 'lat': 51.52588698881016, 'lng': -0.10915481032180864}]",51.52588698881016,-0.10915481032180864,,EC1R 4QE,Greater London,4c7fc0941415b713dd39035d,,,,
